epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,64805.3,0.86389,0.32359,0.0053,0.82706,0.72439,0.75303,0.38079,2.0927,1.30634,0.01929,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,66168.3,0.85245,0.32529,0.00522,0.83217,0.72258,0.75193,0.38177,2.09795,1.31012,0.01938,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,67537.3,0.83924,0.3201,0.00512,0.8356,0.71765,0.7514,0.38132,2.10205,1.31838,0.01942,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,68864.9,0.83172,0.31156,0.00506,0.83561,0.71701,0.75173,0.38035,2.10218,1.32745,0.01948,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,70185.5,0.81666,0.30451,0.00494,0.84235,0.7114,0.75164,0.38105,2.10138,1.34084,0.01945,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,71500.9,0.80417,0.29608,0.00482,0.84261,0.71348,0.75116,0.37947,2.1034,1.35539,0.01939,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,72739.8,0.79142,0.28847,0.00474,0.83455,0.72308,0.75101,0.37905,2.10678,1.36435,0.01942,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,73867.5,0.78086,0.28502,0.00464,0.84133,0.72111,0.7472,0.37925,2.11124,1.36887,0.01955,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,74995.8,0.77105,0.27849,0.00459,0.83866,0.72116,0.74703,0.37922,2.11138,1.38183,0.01952,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,76152,0.75895,0.2744,0.00445,0.84399,0.71614,0.74558,0.38032,2.10633,1.38808,0.01946,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,77288.2,0.74461,0.2679,0.00435,0.84632,0.71952,0.74311,0.3802,2.10459,1.39693,0.01943,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,78399.7,0.73408,0.26403,0.00427,0.84857,0.71444,0.74348,0.37959,2.10363,1.40177,0.01943,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,79516,0.726,0.26513,0.00421,0.8592,0.70782,0.74448,0.37964,2.0988,1.40989,0.0194,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,80559.1,0.71179,0.25313,0.00409,0.85803,0.71057,0.74202,0.37888,2.0982,1.41834,0.01944,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,81583.2,0.69993,0.25052,0.004,0.8527,0.71921,0.74347,0.38104,2.09974,1.42262,0.01948,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,82585.6,0.68866,0.24478,0.00391,0.85129,0.71929,0.74355,0.38081,2.10349,1.43545,0.01956,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,83638.9,0.67656,0.23896,0.00384,0.85212,0.71788,0.74426,0.38041,2.10403,1.44736,0.01962,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
